顺位,用时,开始时间,牌普,一号玩家,一位得点,二号玩家,二位得点,三号玩家,三位得点,四号玩家,四位得点
4位,29,2019-12-21 13:16:00,,GUCCi,52.0,！ぼたもち！,1.0,赤ワイン123,-21.0,けんじ君,-32.0
4位,24,2019-12-21 14:15:00,,touyou57,59.0,綾蔵＠,13.0,！ぼたもち！,-24.0,0071012,-48.0
4位,37,2019-12-22 10:07:00,,y-tatsuo,53.0,カッツン,9.0,！ぼたもち！,-25.0,高山ぼんばー,-37.0
4位,26,2019-12-22 15:50:00,,rickdias,52.0,n.endo,9.0,！ぼたもち！,-19.0,Boxtone,-42.0
4位,44,2019-12-22 16:41:00,,ふりくり,43.0,Er.A.V.,7.0,！ぼたもち！,-15.0,bzsz0104,-35.0
4位,22,2019-12-22 22:52:00,,OichanB,48.0,伝七,12.0,ツ桃,-10.0,！ぼたもち！,-50.0
4位,11,2019-12-23 22:03:00,,sujeong,59.0,！ぼたもち！,14.0,kusorbr,-13.0,ちかっち,-60.0
4位,21,2019-12-24 18:58:00,,Hit28,65.0,マキオちゃん,11.0,！ぼたもち！,-19.0,マグロづくし,-57.0
4位,3,2019-12-24 19:52:00,https://tenhou.net/3/?log=2019122420gm-0089-0000-c491a822,！ぼたもち！,68.0,x6381,5.0,南爺,-16.0,MIKE,-57.0
4位,32,2019-12-24 22:04:00,,鳳南警察24時,68.0,千年メダル,22.0,！ぼたもち！,-38.0,saltin,-52.0
4位,12,2019-12-25 06:28:00,,UTTI-,54.0,！ぼたもち！,17.0,E.Jong,-19.0,文２３,-52.0
4位,29,2019-12-25 20:03:00,,！ぼたもち！,64.0,Goat0120,-1.0,のんW,-25.0,アサルトギア,-38.0
4位,24,2019-12-25 22:34:00,,kiyos,61.0,！ぼたもち！,14.0,百武源吾,-31.0,文２３,-44.0
4位,40,2019-12-26 11:09:00,,！ぼたもち！,53.0,虎のように,10.0,青スヌーピー,-17.0,vitamind,-46.0
4位,34,2019-12-27 01:42:00,,白梅花子,54.0,鬼少,6.0,！ぼたもち！,-21.0,radioman,-39.0
4位,34,2019-12-27 13:06:00,,！ぼたもち！,47.0,モハメド新井,9.0,kent28,-15.0,makou125,-41.0
4位,11,2019-12-27 18:10:00,,！ぼたもち！,52.0,ekikyo,18.0,ああいああ,-19.0,AGO,-51.0
4位,54,2019-12-27 20:34:00,,カンソラ,46.0,充電中,12.0,！ぼたもち！,-11.0,サカチャン,-47.0
4位,29,2019-12-27 22:49:00,,！ぼたもち！,42.0,らは？,9.0,黒駒勝蔵,-12.0,moko56,-39.0
4位,43,2019-12-28 06:46:00,,ぺっぷかも,46.0,加藤英樹,6.0,jipshi08,-18.0,！ぼたもち！,-34.0
4位,12,2019-12-29 19:36:00,,大元,60.0,随道男,12.0,！ぼたもち！,-15.0,GEEK3,-57.0
4位,36,2019-12-29 21:05:00,,すのべ,51.0,たまころがし,8.0,！ぼたもち！,-22.0,イッヒッヒ,-37.0
4位,35,2019-12-29 22:30:00,,tokky230,62.0,！ぼたもち！,10.0,単途,-29.0,がならー,-43.0
4位,31,2019-12-30 10:10:00,https://tenhou.net/3/?log=2019123011gm-0089-0000-96480c1b,TW0125,68.0,裏ひこにゃん,37.0,okgogogo,-38.0,！ぼたもち！,-67.0
4位,25,2019-12-30 23:42:00,,！ぼたもち！,57.0,mym527,21.0,maue,-18.0,shiho888,-60.0
4位,22,2019-12-31 00:53:00,,hidepp,41.0,！ぼたもち！,7.0,奈良県,-18.0,ノーテン,-30.0
4位,27,2019-12-31 10:27:00,https://tenhou.net/3/?log=2019123111gm-0089-0000-d90a51f1,@yamato,73.0,長考は無意味⇒運,22.0,野うさぎちゃん。,-38.0,！ぼたもち！,-57.0
4位,17,2020-01-01 14:40:00,,あすか☆彡,52.0,Aoioi,21.0,！ぼたもち！,-14.0,ロックリー,-59.0
4位,15,2020-01-01 20:15:00,,DV-DH250,58.0,yosi7011,8.0,706-11,-14.0,！ぼたもち！,-52.0
4位,35,2020-01-02 01:05:00,,！ぼたもち！,61.0,ドーハこいけ,5.0,ura3,-26.0,真アレクサー,-40.0
4位,23,2020-01-02 23:01:00,,！ぼたもち！,51.0,辻生斗,15.0,CHRIST,-15.0,xenoyama,-51.0
4位,26,2020-01-03 10:16:00,,トイツはトモダチ,71.0,！ぼたもち！,4.0,mYmJesse,-22.0,chen.c,-53.0
4位,31,2020-01-04 00:23:00,,たこやき８ちゃん,56.0,！ぼたもち！,6.0,極東白いオオカミ,-20.0,schaft,-42.0
4位,15,2020-01-04 06:43:00,,さんたか,46.0,！ぼたもち！,12.0,jasumin,-17.0,トモロー58,-41.0
4位,26,2020-01-05 00:11:00,,灼熱の麻雀娘,56.0,！ぼたもち！,17.0,h123455,-18.0,Foxtail,-55.0
